更新日期,#genre#
2025-11-18,https://gh.tryxd.cn/https://raw.githubusercontent.com/alantang1977/X/main/Pictures/Robot.mp4
🍎┃广东频道,#genre#
广州综合,http://dns.yiandrive.com:15907/gztv/zhonghe$IPV4•线路1
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487$IPV4•线路2
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe$IPV4•线路3
广州综合,http://120.77.205.62:8087/rtp/239.253.43.66:5146$IPV4•线路4
广州综合,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p10.php?id=zhonghe$IPV4•线路5
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8$IPV4•线路6
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd$IPV4•线路7
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$IPV4•线路8
广州综合,http://r.jdshipin.com/snhya$IPV4•线路9
广州综合,http://tencentplaygzrb.gztv.com/sec/zonghes.m3u8$IPV4•线路10
广州新闻,http://dns.yiandrive.com:15907/gztv/xinwen$IPV4•线路1
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487$IPV4•线路2
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen$IPV4•线路3
广州新闻,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/p10.php?id=xinwen$IPV4•线路4
广州新闻,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8$IPV4•线路5
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a$IPV4•线路6
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$IPV4•线路7
广州新闻,http://tencentplaygzrb.gztv.com/sec/xinwen.m3u8$IPV4•线路8
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj$IPV4•线路1
广东珠江,http://www.xzbn.site:35455/itv/2000000003000000033.m3u8?cdn=hnbblive$IPV4•线路2
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8$IPV4•线路3
广东珠江,http://php.jdshipin.com:8880/TVOD/iptv.php?id=gdzj$IPV4•线路4
广东珠江,http://php.jdshipin.com:8880/chudian.php?id=gdzj$IPV4•线路5
广东珠江,http://www.terrykang.xyz:35455/itv/2000000003000000033.m3u8?cdn=hnbblive$IPV4•线路6
广东珠江,http://mzitv.cn:32/tsfile/live/1006_1.m3u8$IPV4•线路7
广东珠江,http://120.77.205.62:8087/rtp/239.77.0.1:5146$IPV4•线路8
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8$IPV4•线路9
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8$IPV4•线路10
广东珠江,http://119.125.134.176:9901/tsfile/live/1003_1.m3u8$IPV4•线路11
广东珠江,http://14.212.185.71:9901/tsfile/live/1000_1.m3u8$IPV4•线路12
广东珠江,http://222.218.158.25:8181/tsfile/live/1000_1.m3u8$IPV4•线路13
广东珠江,http://58.254.14.231:808/hls/55/index.m3u8$IPV4•线路14
广东珠江,http://14.112.86.85:4022/udp/239.77.0.1:5146$IPV4•线路15
广东珠江,http://125.90.252.38:4022/udp/239.77.0.1:5146$IPV4•线路16
广东珠江,http://m.061899.xyz/mg/gdzj$IPV4•线路17
广东珠江,https://iptv.catvod.com/live.php?id=%E5%B9%BF%E4%B8%9C%E7%8F%A0%E6%B1%9F$IPV4•线路18
广东珠江,http://120.238.94.10:9901/tsfile/live/1009_1.m3u8$IPV4•线路19
广东珠江,http://lu.wqwqwq.sbs/itv/2000000003000000033.m3u8?cdn=hnbblive$IPV4•线路20
广东珠江,http://r.jdshipin.com/sE5vO$IPV4•线路21
广州影视频道,http://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=1bd3a1082ab5b89f48c1bff9a3760da4&txTime=18d57929bd4$IPV4•线路1
广州影视频道,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8$IPV4•线路2
广州影视频道,http://php.jdshipin.com:8880/gztv.php?id=yingshi$IPV4•线路3
广州电视台法治频道,http://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=3e84cd8eba844b5dc2150612295c7a52&txTime=18d578f4493$IPV4•线路1
广州电视台法治频道,http://tencentplaygzrb01.gztv.com/live/fazhi.m3u8$IPV4•线路2
广州电视台法治频道,http://php.jdshipin.com:8880/gztv.php?id=fazhi$IPV4•线路3
广州南国都市频道,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8$IPV4
4K南国都市频道,http://php.jdshipin.com:8880/gztv.php?id=shenghuo$IPV4
广州竞赛频道,http://tencentplaygzrb01.gztv.com/live/jingsai.m3u8$IPV4•线路1
广州竞赛频道,http://php.jdshipin.com:8880/gztv.php?id=jingsai$IPV4•线路2
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty$IPV4•线路1
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8$IPV4•线路2
广东体育,http://php.jdshipin.com:8880/chudian.php?id=gdty$IPV4•线路3
广东体育,http://mzitv.cn:32/tsfile/live/1008_1.m3u8$IPV4•线路4
广东体育,http://120.77.205.62:8087/rtp/239.77.0.168:5146$IPV4•线路5
广东体育,http://183.11.239.36:808/hls/2/index.m3u8$IPV4•线路6
广东体育,http://14.212.185.71:9901/tsfile/live/1003_1.m3u8$IPV4•线路7
广东体育,http://222.218.158.25:8181/tsfile/live/1001_1.m3u8$IPV4•线路8
广东体育,http://119.125.134.176:9901/tsfile/live/1007_1.m3u8$IPV4•线路9
广东体育,http://14.112.86.85:4022/udp/239.77.0.112:5146$IPV4•线路10
广东体育,http://14.112.86.85:4022/udp/239.77.0.168:5146$IPV4•线路11
广东体育,http://125.90.252.38:4022/udp/239.77.0.112:5146$IPV4•线路12
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8$IPV4•线路13
广东体育,http://m.061899.xyz/mg/gdty$IPV4•线路14
广东体育,https://iptv.catvod.com/live.php?id=%E5%B9%BF%E4%B8%9C%E4%BD%93%E8%82%B2$IPV4•线路15
广东体育,http://111.221.137.155:44330/tsfile/live/1000_1.m3u8?key=txiptv$IPV4•线路16
广东体育,http://106.53.99.30/tv/gdcucc.php?id=30$IPV4•线路17
广东体育,http://120.238.94.10:9901/tsfile/live/1012_1.m3u8$IPV4•线路18
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8$IPV4•线路19
广东体育,http://r.jdshipin.com/LiYdg$IPV4•线路20
广东民生,http://php.jdshipin.com:8880/chudian.php?id=gdms$IPV4•线路1
广东民生,http://mzitv.cn:32/tsfile/live/1009_1.m3u8$IPV4•线路2
广东民生,http://120.77.205.62:8087/rtp/239.77.0.225:5146$IPV4•线路3
广东民生,http://14.212.185.71:9901/tsfile/live/1002_1.m3u8$IPV4•线路4
广东民生,http://222.218.158.25:8181/tsfile/live/1002_1.m3u8$IPV4•线路5
广东民生,http://183.11.239.36:808/hls/18/index.m3u8$IPV4•线路6
广东民生,http://58.254.14.231:808/hls/58/index.m3u8$IPV4•线路7
广东民生,http://14.112.86.85:4022/udp/239.77.0.225:5146$IPV4•线路8
广东民生,http://125.90.252.38:4022/udp/239.77.0.225:5146$IPV4•线路9
广东民生,http://m.061899.xyz/mg/gdms$IPV4•线路10
广东民生,https://iptv.catvod.com/live.php?id=%E5%B9%BF%E4%B8%9C%E6%B0%91%E7%94%9F$IPV4•线路11
广东综艺,http://106.53.99.30/tv/gdcucc.php?id=1$IPV4
广东影视,http://mzitv.cn:32/tsfile/live/1010_1.m3u8$IPV4•线路1
广东影视,http://14.212.185.71:9901/tsfile/live/1006_1.m3u8$IPV4•线路2
